RW9sMtmrz2g,VPN groups
ys7q1MVbSP4,Different patterns of sampling visual space in the Drosophila visual system
3Gvpj9ghnH4,Regions of the Drosophila visual system and 15 columnar cell types
HWtaZMSisJM,LoVP52, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
xxJJT7z24Q4,LoVP53, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
jUkYvgWEtds,LoVP57, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
eOhPFmA_xEk,LoVP58, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
VIUJDbC_Tm4,LoVP59, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
PsqcfYxY7sk,LoVP54, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
JTAENSkqx_Q,LoVP55, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
F6jLpeJsOe0,LoVP50, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
yKrqgY4eQSc,LoVP63, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
hdRa9UjJWdQ,LoVP64, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
UsgQSbaD7ck,LC6, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
Sl-L0zGD4DE,LC4, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
SSDS2mudhkE,LoVP61, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
QlfFsqGfOWM,LC9, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
N9BWgFrwHN0,LoVP60, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
M5aTWbgev2E,LoVP62, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
H-OiMK7MITA,Lawf2, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0
AXxnVecw1OY,Lawf1, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0
yWQwcQsqb7Y,LC10c-1, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
uaULdD0uzcg,LC10c-2, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
tp1_PCGaxVc,LC10a, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
tUn4UYrBx7w,LC12, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
sjz7UR7vNJM,LC10d, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
khxhR1TSoVI,LC11, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
VuV0O-s_m_o,LC14a-1, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
Pj6-S0fAKNg,LC10e, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
6Oewr4zMR-0,LC10b, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
12-aF0vmAos,LC13, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
xgmd41F_-F8,LC17, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
rOD6aISzWEk,LC14b, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
fbRquW3VlfA,LC15, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
dQMbj38YtB8,LC20b, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
dPDUkmTtz_g,LC19, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
ScUZa6yMNR0,LC18, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
RpG8gQ7G_UM,LPi2e, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
PdXNeeqUaqg,LC16, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
I0-Z4XNENr4,LC14a-2, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
9GSrEGmO2JI,LC20a, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
tUmvqEIXtGU,VCH, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0
brZQMQh7D6M,vCal3, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
Wmk8Uwn_rrI,VSm, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
NTchmgLaTjc,vCal2, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
IKMm4yq1y7o,vCal1, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
85AaYuXUf3Q,Y11, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
7cde6ADjz4I,Y3, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
4R1wiPqweJQ,VS, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
2v0wvrf8M_s,VLP_TBD1, a Drosophila visual system neuron from optic-lobe:v1.0
omLTMZneGIY,TmY10, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
o5d9FNR4Bx0,TmY14, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
cnUb2penTXQ,Y14, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
TrRSB25ZtrI,Y13, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
QnnWO8reLB4,TmY13, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
6lTw_L-2unQ,TmY4, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
yUcxoZ46vnk,Y12, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
nRtlmYNGYZ0,TmY5a, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
VbQabf6n9xs,TmY9b, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
FKuSTsujTbM,TmY9a, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
IvG3tNFZrOg,Tm31, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
mt6DeymLniA,Tm32, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
mN9IsxKnYuo,TmY20, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
i0Pk5OWj8R0,TmY19b, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
b-iz3tOXDKw,TmY18, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
HCSK91ARxyQ,TmY21, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
A5N3kv1WMg0,TmY17, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
8OE-w7W-V9s,TmY16, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
6Vb8wEwGSFU,TmY15, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
5KpUjJj9s8E,TmY19a, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
5iyPdF8GNhY,Tm38, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
41Bz_0p9-j8,PLP_TBD1, a Drosophila visual system neuron from optic-lobe:v1.0
ztbRZ075qYE,Tm33, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
bUynfHiaH_c,Tm39, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
Z4VtPJAFcIM,Tm34, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
YZFc4cRpzEs,TmY3, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
WN1DQ1f8GPQ,Tm37, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
UovyOi-lzks,Tm36, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
A9N12aIZnss,Tm35, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
2qBMMcHtga8,Tm40, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
uAaWasL04p8,Pm6, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
t3xhCQiXgc0,Pm2a, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
oOcNpcblOO8,Pm3, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
nWz-IJ0Ncac,Pm2b, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
kltLrbjfXEQ,Pm5, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
